time;value;datasource_id
1;20.48;201806
2;20.48;201806
3;19.66;201806
4;19.66;201806
5;19.46;201806
6;19.46;201806
7;19.56;201806
8;19.56;201806
9;19.56;201806
10;19.15;201806
11;19.15;201806
12;20.16;201806
13;20.16;201806
14;19.86;201806
15;19.86;201806
16;19.65;201806
17;19.65;201806
18;20.46;201806
19;20.46;201806
20;20.46;201806
21;19.75;201806
22;19.75;201806
23;19.33;201806
24;19.33;201806
25;20.16;201806
26;20.16;201806
27;20.16;201806
28;20.16;201806
29;20.58;201806
30;20.58;201806
31;20.34;201806
32;20.34;201806
33;20.34;201806
34;21.2;201806
35;21.2;201806
36;21.09;201806
37;21.09;201806
38;21.2;201806
39;21.2;201806
40;21.2;201806
41;20.16;201806
42;20.16;201806
43;21.71;201806
44;21.71;201806
45;21.5;201806
46;21.5;201806
47;21.4;201806
48;21.4;201806
49;21.09;201806
50;21.09;201806
51;22.33;201806
52;22.33;201806
53;23.05;201806
54;23.05;201806
55;20.79;201806
56;20.79;201806
57;20.89;201806
58;20.89;201806
59;20.89;201806
60;21.09;201806
61;21.09;201806
62;20.99;201806
63;20.99;201806
64;21.29;201806
65;21.29;201806
66;21.2;201806
67;21.2;201806
68;21.3;201806
69;21.3;201806
70;20.99;201806
71;20.99;201806
72;21.5;201806
73;21.5;201806
74;21.5;201806
75;21.08;201806
76;21.08;201806
77;20.66;201806
78;20.66;201806
79;20.36;201806
80;20.36;201806
81;21.19;201806
82;21.19;201806
83;20.79;201806
84;20.79;201806
85;20.79;201806
86;20.87;201806
87;20.87;201806
88;20.87;201806
89;20.87;201806
90;19.96;201806
91;19.96;201806
92;20.79;201806
93;20.79;201806
94;20.46;201806
95;20.46;201806
96;21.19;201806
97;21.19;201806
98;21.59;201806
99;21.59;201806
100;20.46;201806
101;20.46;201806
102;20.78;201806
103;20.78;201806
104;21.29;201806
105;21.29;201806
106;19.94;201806
107;19.94;201806
108;19.94;201806
109;20.46;201806
110;20.46;201806
111;21.91;201806
112;21.91;201806
113;20.95;201806
114;20.95;201806
115;20.42;201806
116;20.42;201806
117;20.42;201806
118;20.78;201806
119;20.78;201806
120;21.08;201806
121;21.08;201806
122;20.57;201806
123;20.57;201806
124;20.57;201806
125;20.57;201806
126;21.37;201806
127;21.37;201806
128;20.87;201806
129;20.87;201806
130;21.68;201806
131;21.68;201806
132;21.87;201806
133;21.87;201806
134;21.59;201806
135;21.59;201806
136;21.59;201806
137;20.36;201806
138;20.36;201806
139;20.98;201806
140;20.98;201806
141;20.99;201806
142;20.99;201806
143;21.79;201806
144;21.79;201806
145;21.69;201806
146;21.69;201806
147;20.66;201806
148;20.66;201806
149;20.66;201806
150;21.3;201806
151;21.3;201806
152;20.35;201806
153;20.35;201806
154;21.91;201806
155;21.91;201806
156;21.29;201806
157;21.29;201806
158;21.37;201806
159;21.37;201806
160;21.05;201806
161;21.05;201806
162;20.05;201806
163;20.05;201806
164;20.05;201806
165;21.79;201806
166;21.79;201806
167;20.86;201806
168;20.86;201806
169;19.64;201806
170;19.64;201806
171;22.2;201806
172;22.2;201806
173;20.66;201806
174;20.66;201806
175;21.18;201806
176;21.18;201806
177;20.98;201806
178;21.19;201806
179;21.19;201806
180;20.86;201806
181;20.86;201806
182;21.19;201806
183;21.19;201806
184;21.29;201806
185;21.29;201806
186;20.86;201806
187;20.65;201806
188;20.65;201806
189;20.98;201806
190;20.98;201806
191;25.2;201806
192;21;201806
193;21;201806
194;20.86;201806
195;20.86;201806
196;19.93;201806
197;19.93;201806
198;19.32;201806
199;19.74;201806
200;19.74;201806
201;18.51;201806
202;18.51;201806
203;19.73;201806
204;19.73;201806
205;19.32;201806
206;19.22;201806
207;19.22;201806
208;19.21;201806
209;19.21;201806
210;19.01;201806
211;19.01;201806
212;19.22;201806
213;19.22;201806
214;19.11;201806
215;18.9;201806
216;18.9;201806
217;18.69;201806
218;18.69;201806
219;19.11;201806
220;19.11;201806
221;19.01;201806
222;18.89;201806
223;18.89;201806
224;22.85;201806
225;22.85;201806
226;21.07;201806
227;21.07;201806
228;18.8;201806
229;19.73;201806
230;19.73;201806
231;19.42;201806
232;19.42;201806
233;19.52;201806
234;19.52;201806
235;18.8;201806
236;18.8;201806
237;18.29;201806
238;19.1;201806
239;19.1;201806
240;18.82;201806
241;18.82;201806
242;19.32;201806
243;17.76;201806
244;17.76;201806
245;19.73;201806
246;19.73;201806
247;19.21;201806
248;19.21;201806
249;18.5;201806
250;19.21;201806
251;19.21;201806
252;18.39;201806
253;18.39;201806
254;18.69;201806
255;18.69;201806
256;18.6;201806
257;18.6;201806
258;18.8;201806
259;18.8;201806
260;19.01;201806
261;19.01;201806
262;19.01;201806
263;19.21;201806
264;19.21;201806
265;18.18;201806
266;18.18;201806
267;17.26;201806
268;18.8;201806
269;18.8;201806
270;19.01;201806
271;19.01;201806
272;19.01;201806
273;18.5;201806
274;18.5;201806
275;18.79;201806
276;18.79;201806
277;17.67;201806
278;17.67;201806
279;18.29;201806
280;18.29;201806
281;17.87;201806
282;17.87;201806
283;17.97;201806
284;17.97;201806
285;18.07;201806
286;18.07;201806
287;18.18;201806
288;18.18;201806
289;18.6;201806
290;18.6;201806
291;18.8;201806
292;18.8;201806
293;18.5;201806
294;18.5;201806
295;18.5;201806
296;19.11;201806
297;19.11;201806
298;19.42;201806
299;19.42;201806
300;19.84;201806
301;19.84;201806
302;19.21;201806
303;19.21;201806
304;20.25;201806
305;20.25;201806
306;19.11;201806
307;19.11;201806
308;19.11;201806
309;20.78;201806
310;20.78;201806
311;19.64;201806
312;19.64;201806
313;21.06;201806
314;21.06;201806
315;20.23;201806
316;20.23;201806
317;20.87;201806
318;20.87;201806
319;20.87;201806
320;20.44;201806
321;20.44;201806
322;21.48;201806
323;21.48;201806
324;21.49;201806
325;21.49;201806
326;21.28;201806
327;21.28;201806
328;21.36;201806
329;21.36;201806
330;21.69;201806
331;21.69;201806
332;21.69;201806
333;20.86;201806
334;20.86;201806
335;21.78;201806
336;21.78;201806
337;22.4;201806
338;22.4;201806
339;22.4;201806
340;22.71;201806
341;22.71;201806
342;21.57;201806
343;21.57;201806
344;24.15;201806
345;24.15;201806
346;23.65;201806
347;23.65;201806
348;24.37;201806
349;24.37;201806
350;24.87;201806
351;24.87;201806
352;24.87;201806
353;24.05;201806
354;24.05;201806
355;25.08;201806
356;25.08;201806
357;24.46;201806
358;24.46;201806
359;25.59;201806
360;25.59;201806
361;26.55;201806
362;26.55;201806
363;26.33;201806
364;26.33;201806
365;25.79;201806
366;25.79;201806
367;25.79;201806
368;26.93;201806
369;26.93;201806
370;26.73;201806
371;26.73;201806
372;26;201806
373;26;201806
374;26.83;201806
375;26.83;201806
376;27.34;201806
377;27.34;201806
378;27.34;201806
379;26.53;201806
380;26.53;201806
381;28.96;201806
382;28.96;201806
383;28.02;201806
384;28.02;201806
385;27.35;201806
386;27.35;201806
387;27.35;201806
388;29.27;201806
389;29.27;201806
390;29.39;201806
391;29.39;201806
392;28.78;201806
393;28.78;201806
394;29.06;201806
395;29.06;201806
396;29.89;201806
397;29.89;201806
398;29.6;201806
399;29.6;201806
400;29.6;201806
401;30.42;201806
402;30.42;201806
403;30.31;201806
404;30.31;201806
405;29.18;201806
406;29.18;201806
407;31.66;201806
408;31.66;201806
409;31.66;201806
410;29.98;201806
411;29.98;201806
412;30.51;201806
413;30.51;201806
414;30.21;201806
415;30.21;201806
416;32.25;201806
417;32.25;201806
418;32.55;201806
419;32.55;201806
420;31.14;201806
421;31.14;201806
422;33.21;201806
423;33.21;201806
424;32.77;201806
425;32.77;201806
426;32.77;201806
427;34.22;201806
428;34.22;201806
429;34.01;201806
430;34.01;201806
431;33.21;201806
432;33.21;201806
433;32.78;201806
434;32.78;201806
435;32.78;201806
436;33.92;201806
437;33.92;201806
438;33.71;201806
439;33.71;201806
440;33;201806
441;33;201806
442;35.77;201806
443;35.77;201806
444;33;201806
445;33;201806
446;34.43;201806
447;34.43;201806
448;34.43;201806
449;35.46;201806
450;35.46;201806
451;35.54;201806
452;35.54;201806
453;36.18;201806
454;36.18;201806
455;35.35;201806
456;35.35;201806
457;35.46;201806
458;35.46;201806
459;36.8;201806
460;36.8;201806
461;37.31;201806
462;37.31;201806
463;37.73;201806
464;37.73;201806
465;37.73;201806
466;38.23;201806
467;38.23;201806
468;37.3;201806
469;37.3;201806
470;37.94;201806
471;37.94;201806
472;38.02;201806
473;38.02;201806
474;39.96;201806
