time;;datasource_id
0;292.8674995;3
1;292.7999992;3
2;292.7724996;3
3;292.75;3
4;292.7225004;3
5;292.6175005;3
6;292.5500002;3
7;292.4674999;3
8;292.4824999;3
9;292.5500002;3
10;292.6325005;3
11;292.7550005;3
12;292.8000002;3
13;292.8549999;3
14;292.9824999;3
15;293.0500002;3
16;293.1325005;3
17;293.2825006;3
18;293.3500004;3
19;293.4325002;3
20;293.4175002;3
21;293.3500004;3
22;293.2675006;3
23;293.2000008;3
24;293.2000008;3
25;293.2000008;3
26;293.2000008;3
27;293.1450006;3
28;293.1000004;3
29;293.0450002;3
30;292.9175002;3
31;292.8500004;3
32;292.7675006;3
33;292.6450006;3
34;292.6000004;3
35;292.5450002;3
36;292.5;3
37;292.5;3
38;292.5;3
39;292.5;3
40;292.5;3
41;292.5;3
42;292.5;3
43;292.5275001;3
44;292.5500002;3
45;292.5775003;3
46;292.6275005;3
47;292.6500006;3
48;292.6775007;3
49;292.7000008;3
50;292.7000008;3
51;292.7000008;3
52;292.7550005;3
53;292.8000002;3
54;292.8549999;3
55;292.8449999;3
56;292.8000002;3
57;292.7450005;3
58;292.6725007;3
59;292.6500006;3
60;292.6225005;3
61;292.6000004;3
62;292.6275005;3
63;292.6500006;3
64;292.6775007;3
65;292.7000008;3
66;292.7000008;3
67;292.7000008;3
68;292.7275004;3
69;292.75;3
70;292.7774996;3
71;292.7724996;3
72;292.75;3
73;292.7225004;3
74;292.6175005;3
75;292.5500002;3
76;292.4674999;3
77;292.3724995;3
78;292.3499994;3
79;292.3224993;3
80;292.2999992;3
81;292.2449995;3
82;292.1999998;3
83;292.1450001;3
84;292.1000004;3
85;292.1000004;3
86;292.1000004;3
87;292.1275005;3
88;292.1500006;3
89;292.1775007;3
90;292.2000008;3
91;292.2000008;3
92;292.2000008;3
93;292.2825006;3
94;292.3500004;3
95;292.4325002;3
96;292.5550002;3
97;292.6000004;3
98;292.6550006;3
99;292.6725007;3
100;292.6500006;3
101;292.6225005;3
102;292.6000004;3
103;292.6000004;3
104;292.6000004;3
105;292.6000004;3
106;292.5725003;3
107;292.5500002;3
108;292.5225001;3
109;292.4449998;3
110;292.3999996;3
111;292.3449994;3
112;292.2449995;3
113;292.1999998;3
114;292.1450001;3
115;292.1275005;3
116;292.1500006;3
117;292.1775007;3
118;292.2000008;3
119;292.2000008;3
120;292.2000008;3
121;292.2000008;3
122;292.1725007;3
123;292.1500006;3
124;292.1225005;3
125;292.1825002;3
126;292.25;3
127;292.3324998;3
128;292.3999996;3
129;292.3999996;3
130;292.3999996;3
131;292.4274997;3
132;292.4499998;3
133;292.4774999;3
134;292.5275001;3
135;292.5500002;3
136;292.5775003;3
137;292.6000004;3
138;292.6000004;3
139;292.6000004;3
140;292.6000004;3
141;292.5450002;3
142;292.5;3
143;292.4449998;3
144;292.4274997;3
145;292.4499998;3
146;292.4774999;3
147;292.4724999;3
148;292.4499998;3
149;292.4224997;3
150;292.4824999;3
151;292.5500002;3
152;292.6325005;3
153;292.7550005;3
154;292.8000002;3
155;292.8549999;3
156;292.9274997;3
157;292.9499998;3
158;292.9774999;3
159;293;3
160;293;3
161;293;3
162;293;3
163;293.0275001;3
164;293.0500002;3
165;293.0775003;3
166;293.0175001;3
167;292.9499998;3
168;292.8674995;3
169;292.7724996;3
170;292.75;3
171;292.7225004;3
172;292.6725007;3
173;292.6500006;3
174;292.6225005;3
175;292.4625004;3
176;292.3500004;3
177;292.2125004;3
178;292.3200002;3
179;292.5;3
180;292.7199998;3
181;292.8999996;3
182;292.9274997;3
183;292.9499998;3
184;292.9774999;3
185;293.0824998;3
186;293.1499996;3
187;293.2324994;3
188;293.3274993;3
189;293.3499994;3
190;293.3774995;3
191;293.2899997;3
192;293.1999998;3
193;293.0899999;3
194;292.9175002;3
195;292.8500004;3
196;292.7675006;3
197;292.6175005;3
198;292.5500002;3
199;292.4674999;3
200;292.3999996;3
201;292.3724995;3
202;292.3499994;3
203;292.3224993;3
204;292.1899993;3
205;292.0999994;3
206;291.9899995;3
207;291.9549998;3
208;292;3
209;292.0550002;3
210;292.1550001;3
211;292.1999998;3
212;292.2549995;3
213;292.3824995;3
214;292.4499998;3
215;292.5325001;3
216;292.6550001;3
217;292.6999998;3
218;292.7549995;3
219;292.7999992;3
220;292.7999992;3
221;292.7999992;3
222;292.7999992;3
