value;time;datasource_id
293;0;3
293;1;3
293;2;3
293;3;3
293;4;3
293;5;3
293;6;3
293;7;3
293;8;3
293;9;3
293;10;3
293;11;3
293;12;3
293;13;3
293;14;3
293;15;3
293;16;3
293;17;3
293;18;3
293;19;3
293;20;3
293;21;3
293;22;3
293;23;3
293;24;3
293;25;3
293;26;3
293;27;3
293;28;3
293;29;3
293;30;3
293;31;3
293;32;3
293;33;3
293;34;3
293;35;3
293;36;3
293;37;3
293;38;3
293;39;3
293;40;3
293;41;3
293;42;3
293;43;3
293;44;3
293;45;3
293;46;3
293;47;3
293;48;3
293;49;3
293;50;3
293;51;3
293;52;3
293;53;3
293;54;3
293;55;3
293;56;3
293;57;3
293;58;3
293;59;3
293;60;3
293;61;3
293;62;3
293;63;3
293;64;3
293;65;3
293;66;3
293;67;3
293;68;3
293;69;3
293;70;3
293;71;3
293;72;3
293;73;3
293;74;3
293;75;3
293;76;3
293;77;3
293;78;3
293;79;3
293;80;3
293;81;3
293;82;3
293;83;3
293;84;3
293;85;3
293;86;3
293;87;3
293;88;3
293;89;3
293;90;3
293;91;3
293;92;3
293;93;3
293;94;3
293;95;3
293;96;3
293;97;3
293;98;3
293;99;3
293;100;3
293;101;3
293;102;3
293;103;3
293;104;3
293,0111174;105;3
293,0222348;106;3
293,0333521;107;3
293,0444693;108;3
293,0555864;109;3
293,0667035;110;3
293,0778205;111;3
293,0889374;112;3
293,1000543;113;3
293,1111711;114;3
293,1222878;115;3
293,1334045;116;3
293,144521;117;3
293,1556376;118;3
293,166754;119;3
293,1778704;120;3
293,1889867;121;3
293,2001029;122;3
293,211219;123;3
293,2223351;124;3
293,2334511;125;3
293,2445671;126;3
293,255683;127;3
293,2667988;128;3
293,2779145;129;3
293,2890302;130;3
293,3001457;131;3
293,3112613;132;3
293,3223767;133;3
293,3334921;134;3
293,3446074;135;3
293,3557226;136;3
293,3668378;137;3
293,3779529;138;3
293,3890679;139;3
293,4001829;140;3
293,4112978;141;3
293,4155018;142;3
293,4197057;143;3
293,4239096;144;3
293,4281135;145;3
293,4323174;146;3
293,4527467;147;3
293,4731759;148;3
293,4936049;149;3
293,5140338;150;3
293,5344625;151;3
293,5553419;152;3
293,5762211;153;3
293,5971002;154;3
293,6179791;155;3
293,6388579;156;3
293,6640934;157;3
293,6893288;158;3
293,714564;159;3
293,739799;160;3
293,7650338;161;3
293,7680337;162;3
