time,value,datasource_id
1555098662348,"288.7568327",0
1555098663348,"288.7214463",0
1555098664348,"288.6970422",0
1555098665348,"288.6525042",0
1555098666348,"288.5780705",0
1555098667348,"288.4993657",0
1555098668348,"288.4462856",0
1555098669348,"288.4499463",0
1555098670348,"288.5066871",0
1555098671348,"288.5933233",0
1555098672348,"288.6842302",0
1555098673348,"288.7495121",0
1555098674348,"288.8184547",0
1555098675348,"288.9105818",0
1555098676348,"288.9947776",0
1555098677348,"289.0881252",0
1555098678348,"289.1979456",0
1555098679348,"289.2876322",0
1555098680348,"289.3407119",0
1555098681348,"289.3370512",0
1555098682348,"289.2803108",0
1555098683348,"289.2070974",0
1555098684348,"289.1540177",0
1555098685348,"289.1375447",0
1555098686348,"289.1375447",0
1555098687348,"289.1241222",0
1555098688348,"289.086295",0
