time,,datasource_id
0,299.8312176,3
1,299.7829943,3
2,299.757614,3
3,299.7322337,3
4,299.6649751,3
5,299.5774115,3
6,299.5012691,3
7,299.467005,3
8,299.5088833,3
9,299.5850258,3
10,299.6890868,3
11,299.774112,3
12,299.8248731,3
13,299.9175126,3
14,300.0164975,3
15,300.09264,3
16,300.2106605,3
17,300.3210665,3
18,300.3972084,3
19,300.4314723,3
20,300.3895942,3
21,300.3134523,3
22,300.2373104,3
23,300.2030465,3
24,300.2030465,3
25,300.2030465,3
26,300.1751276,3
27,300.124366,3
28,300.0736044,3
29,299.9809647,3
30,299.88198,3
31,299.8058381,3
32,299.7017773,3
33,299.6167518,3
34,299.5659901,3
35,299.5152285,3
36,299.4923858,3
37,299.4923858,3
38,299.4923858,3
39,299.4923858,3
40,299.4923858,3
41,299.4923858,3
42,299.5063452,3
43,299.531726,3
44,299.5571069,3
45,299.5964471,3
46,299.6332493,3
47,299.6586301,3
48,299.6840109,3
49,299.6954323,3
50,299.6954323,3
51,299.7233509,3
52,299.774112,3
53,299.8248731,3
54,299.8477156,3
55,299.819797,3
56,299.7690359,3
57,299.7043153,3
58,299.656092,3
59,299.6307112,3
60,299.6053304,3
61,299.6078685,3
62,299.6332493,3
63,299.6586301,3
64,299.6840109,3
65,299.6954323,3
66,299.6954323,3
67,299.7093915,3
68,299.7347718,3
69,299.7601521,3
70,299.7715732,3
71,299.757614,3
72,299.7322337,3
73,299.6649751,3
74,299.5774115,3
75,299.5012691,3
76,299.4111672,3
77,299.3515223,3
78,299.3261415,3
79,299.3007607,3
80,299.2614207,3
81,299.2106596,3
82,299.1598984,3
83,299.1091373,3
84,299.0862948,3
85,299.0862948,3
86,299.1002543,3
87,299.1256351,3
88,299.1510159,3
89,299.1763967,3
90,299.1878181,3
91,299.1878181,3
92,299.2296961,3
93,299.3058381,3
94,299.38198,3
95,299.4860408,3
96,299.5710663,3
97,299.6218279,3
98,299.6586301,3
99,299.656092,3
100,299.6307112,3
101,299.6053304,3
102,299.593909,3
103,299.593909,3
104,299.593909,3
105,299.5799496,3
106,299.5545688,3
107,299.529188,3
108,299.4758883,3
109,299.4137053,3
110,299.3629436,3
111,299.2842634,3
112,299.2106596,3
113,299.1598984,3
114,299.1230968,3
115,299.1256351,3
116,299.1510159,3
117,299.1763967,3
118,299.1878181,3
119,299.1878181,3
120,299.1878181,3
121,299.1738586,3
122,299.1484778,3
123,299.123097,3
124,299.1395942,3
125,299.2043148,3
126,299.2804567,3
127,299.3565987,3
128,299.3908625,3
129,299.3908625,3
130,299.404822,3
131,299.4302028,3
132,299.4555836,3
133,299.4949239,3
134,299.531726,3
135,299.5571069,3
136,299.5824877,3
137,299.593909,3
138,299.593909,3
