time;values;datasource_id
0;287.14;3
1;287.14;3
2;287.14;3
3;287.14;3
4;287.14;3
5;287.14;3
6;287.14;3
7;287.14;3
8;286.16;3
9;286.16;3
10;286.16;3
11;287.14;3
12;287.14;3
13;287.14;3
14;287.14;3
15;287.14;3
16;287.14;3
17;287.14;3
18;287.14;3
19;287.14;3
20;288.12;3
21;288.12;3
22;288.12;3
23;287.14;3
24;287.14;3
25;287.14;3
26;287.14;3
27;287.14;3
28;287.14;3
29;287.14;3
30;287.14;3
31;287.14;3
32;287.14;3
33;287.14;3
34;287.14;3
35;287.14;3
36;287.14;3
37;287.14;3
38;287.14;3
39;287.14;3
40;287.14;3
41;287.14;3
42;287.14;3
43;287.14;3
44;287.14;3
45;287.14;3
46;287.14;3
47;287.14;3
48;287.14;3
49;287.14;3
50;287.14;3
51;287.14;3
52;287.14;3
53;287.14;3
54;287.14;3
55;287.14;3
56;287.14;3
57;287.14;3
58;287.14;3
59;287.14;3
60;287.14;3
61;287.14;3
62;287.14;3
63;287.14;3
64;287.14;3
65;287.14;3
66;287.14;3
67;287.14;3
68;287.14;3
69;287.14;3
70;287.14;3
71;287.14;3
72;287.14;3
73;287.14;3
74;287.14;3
75;287.14;3
76;287.14;3
77;286.16;3
78;286.16;3
79;286.16;3
80;286.16;3
81;286.16;3
82;286.16;3
83;286.16;3
84;286.16;3
85;286.16;3
86;286.16;3
87;286.16;3
88;286.16;3
89;286.16;3
90;286.16;3
91;286.16;3
92;286.16;3
93;286.16;3
94;286.16;3
95;286.16;3
96;287.14;3
97;287.14;3
98;287.14;3
99;287.14;3
100;287.14;3
101;287.14;3
102;287.14;3
103;287.14;3
104;287.14;3
105;287.14;3
106;287.14;3
107;287.14;3
108;287.14;3
109;287.14;3
110;287.14;3
111;287.14;3
112;286.16;3
113;286.16;3
114;286.16;3
115;286.16;3
116;286.16;3
117;286.16;3
118;286.16;3
119;286.16;3
120;286.16;3
121;286.16;3
122;286.16;3
123;286.16;3
124;286.16;3
125;286.16;3
126;286.16;3
127;286.16;3
128;286.16;3
129;286.16;3
130;286.16;3
131;286.16;3
132;286.16;3
133;286.16;3
134;287.14;3
135;287.14;3
136;287.14;3
137;287.14;3
138;287.14;3
139;287.14;3
140;287.14;3
141;287.14;3
142;287.14;3
143;287.14;3
144;286.16;3
145;286.16;3
146;286.16;3
147;287.14;3
148;287.14;3
149;287.14;3
150;286.16;3
151;286.16;3
152;286.16;3
153;287.14;3
154;287.14;3
155;287.14;3
156;287.14;3
157;287.14;3
158;287.14;3
159;287.14;3
160;287.14;3
161;287.14;3
162;287.14;3
163;287.14;3
164;287.14;3
165;287.14;3
166;287.14;3
167;287.14;3
168;287.14;3
169;287.14;3
170;287.14;3
171;287.14;3
172;287.14;3
173;287.14;3
174;287.14;3
175;287.14;3
176;287.14;3
177;287.14;3
178;286.16;3
179;286.16;3
180;286.16;3
181;287.14;3
182;287.14;3
183;287.14;3
184;287.14;3
185;287.14;3
186;287.14;3
187;287.14;3
188;287.14;3
189;287.14;3
190;287.14;3
191;287.14;3
192;287.14;3
193;287.14;3
194;287.14;3
195;287.14;3
196;287.14;3
197;287.14;3
198;287.14;3
199;287.14;3
200;286.16;3
201;286.16;3
202;286.16;3
203;286.16;3
204;286.16;3
205;286.16;3
206;286.16;3
207;286.16;3
208;286.16;3
209;286.16;3
210;286.16;3
211;286.16;3
212;286.16;3
213;286.16;3
214;286.16;3
215;286.16;3
216;287.14;3
217;287.14;3
218;287.14;3
219;287.14;3
220;287.14;3
221;287.14;3
222;287.14;3
223;287.14;3
224;287.14;3
225;287.14;3
226;287.14;3
227;287.14;3
228;287.14;3
229;286.16;3
230;286.16;3
231;286.16;3
232;286.16;3
233;286.16;3
234;286.16;3
235;286.16;3
236;286.16;3
237;287.14;3
238;287.14;3
239;287.14;3
240;287.14;3
241;287.14;3
242;287.14;3
243;287.14;3
244;287.14;3
245;287.14;3
246;287.14;3
247;287.14;3
248;287.14;3
249;286.16;3
250;286.16;3
251;286.16;3
252;286.16;3
253;286.16;3
254;286.16;3
255;286.16;3
256;287.14;3
257;287.14;3
258;287.14;3
259;287.14;3
260;287.14;3
261;287.14;3
262;287.14;3
263;287.14;3
264;287.14;3
265;287.14;3
266;287.14;3
267;287.14;3
268;287.14;3
269;287.14;3
270;287.14;3
271;286.16;3
272;286.16;3
273;286.16;3
274;286.16;3
275;287.14;3
276;287.14;3
277;287.14;3
278;287.14;3
279;287.14;3
280;287.14;3
281;287.14;3
282;287.14;3
283;287.14;3
284;288.12;3
285;288.12;3
286;288.12;3
287;288.12;3
288;288.12;3
289;288.12;3
290;288.12;3
291;288.12;3
292;288.12;3
293;288.12;3
294;288.12;3
295;288.12;3
296;288.12;3
297;288.12;3
298;288.12;3
299;288.12;3
300;288.12;3
301;288.12;3
302;288.12;3
303;288.12;3
304;288.12;3
305;288.12;3
306;288.12;3
307;288.12;3
308;288.12;3
309;288.12;3
310;288.12;3
311;288.12;3
312;288.12;3
313;289.1;3
314;289.1;3
315;289.1;3
316;289.1;3
317;289.1;3
318;289.1;3
319;290.08;3
320;290.08;3
321;290.08;3
322;290.08;3
323;290.08;3
324;290.08;3
325;290.08;3
326;290.08;3
327;290.08;3
328;290.08;3
329;290.08;3
330;290.08;3
331;290.08;3
332;290.08;3
333;290.08;3
334;290.08;3
335;290.08;3
336;290.08;3
337;290.08;3
338;291.06;3
339;291.06;3
340;291.06;3
341;291.06;3
342;291.06;3
343;291.06;3
344;291.06;3
345;291.06;3
346;291.06;3
347;291.06;3
348;291.06;3
349;291.06;3
350;292.04;3
351;292.04;3
352;292.04;3
353;292.04;3
354;292.04;3
355;292.04;3
356;292.04;3
357;292.04;3
358;292.04;3
359;292.04;3
360;293.02;3
361;293.02;3
362;293.02;3
363;293.02;3
364;293.02;3
365;293.02;3
366;293.02;3
367;293.02;3
368;293.02;3
369;294;3
370;294;3
371;294;3
372;294;3
373;294;3
374;294;3
375;294;3
376;294.98;3
377;294.98;3
378;294.98;3
379;294.98;3
380;294.98;3
381;294.98;3
382;295.96;3
383;295.96;3
384;295.96;3
385;295.96;3
386;295.96;3
387;295.96;3
388;295.96;3
389;295.96;3
390;295.96;3
391;295.96;3
392;295.96;3
393;295.96;3
394;295.96;3
395;295.96;3
396;295.96;3
397;295.96;3
398;295.96;3
399;295.96;3
400;295.96;3
401;296.94;3
402;296.94;3
403;296.94;3
404;296.94;3
405;296.94;3
406;296.94;3
407;297.92;3
408;297.92;3
409;297.92;3
410;297.92;3
411;297.92;3
412;297.92;3
413;297.92;3
414;297.92;3
415;297.92;3
416;297.92;3
417;298.9;3
418;298.9;3
419;298.9;3
420;298.9;3
421;298.9;3
422;298.9;3
423;299.88;3
424;299.88;3
425;299.88;3
426;299.88;3
427;299.88;3
428;299.88;3
429;299.88;3
430;299.88;3
431;299.88;3
432;299.88;3
433;299.88;3
434;299.88;3
435;299.88;3
436;299.88;3
437;299.88;3
438;299.88;3
439;299.88;3
440;299.88;3
441;299.88;3
442;299.88;3
443;299.88;3
