time;value;datasource_id
1;18.71;kit_trials_exp_1_05.11.2018_fo4
2;18.71;kit_trials_exp_1_05.11.2018_fo4
3;19.25;kit_trials_exp_1_05.11.2018_fo4
4;19.25;kit_trials_exp_1_05.11.2018_fo4
5;18.7;kit_trials_exp_1_05.11.2018_fo4
6;18.7;kit_trials_exp_1_05.11.2018_fo4
7;19.04;kit_trials_exp_1_05.11.2018_fo4
8;19.04;kit_trials_exp_1_05.11.2018_fo4
9;19.04;kit_trials_exp_1_05.11.2018_fo4
10;18.4;kit_trials_exp_1_05.11.2018_fo4
11;18.4;kit_trials_exp_1_05.11.2018_fo4
12;18.51;kit_trials_exp_1_05.11.2018_fo4
13;18.51;kit_trials_exp_1_05.11.2018_fo4
14;18.11;kit_trials_exp_1_05.11.2018_fo4
15;18.11;kit_trials_exp_1_05.11.2018_fo4
16;18.7;kit_trials_exp_1_05.11.2018_fo4
17;18.7;kit_trials_exp_1_05.11.2018_fo4
18;18.18;kit_trials_exp_1_05.11.2018_fo4
19;18.18;kit_trials_exp_1_05.11.2018_fo4
20;18.7;kit_trials_exp_1_05.11.2018_fo4
21;18.7;kit_trials_exp_1_05.11.2018_fo4
22;18.7;kit_trials_exp_1_05.11.2018_fo4
23;18.19;kit_trials_exp_1_05.11.2018_fo4
24;18.19;kit_trials_exp_1_05.11.2018_fo4
25;18.61;kit_trials_exp_1_05.11.2018_fo4
26;18.61;kit_trials_exp_1_05.11.2018_fo4
27;18.51;kit_trials_exp_1_05.11.2018_fo4
28;18.51;kit_trials_exp_1_05.11.2018_fo4
29;17.98;kit_trials_exp_1_05.11.2018_fo4
30;17.98;kit_trials_exp_1_05.11.2018_fo4
31;17.77;kit_trials_exp_1_05.11.2018_fo4
32;17.77;kit_trials_exp_1_05.11.2018_fo4
33;17.77;kit_trials_exp_1_05.11.2018_fo4
34;17.98;kit_trials_exp_1_05.11.2018_fo4
35;17.98;kit_trials_exp_1_05.11.2018_fo4
36;18.09;kit_trials_exp_1_05.11.2018_fo4
37;18.09;kit_trials_exp_1_05.11.2018_fo4
38;17.78;kit_trials_exp_1_05.11.2018_fo4
39;17.78;kit_trials_exp_1_05.11.2018_fo4
